1851,entregar,to deliver
1854,entrenar,to train
1855,entretener,"to entertain, amuse"
1857,entrever,"to glimpse, guess"
1859,entrevistar,to interview
1860,entusiasmar,"to fill with enthusiasm, excite"
1862,envejecer,"to age, grow old"
1863,enviar,to send
1865,envidiar,to envy
1867,envolver,to wrap
1870,equilibrar,to balance
1874,equivaler,"to be equivalent, tantamount (to)"
1875,equivocar,to be wrong
1876,erguir,"to straighten, raise"
1882,escapar,to escape
1889,escoger,to choose
1891,esconder,"to hide, conceal"
1892,escribir,to write
1897,escuchar,to listen to
1901,escupir,to spit
1902,escurrir,"to drip, drain, trickle"
1909,esforzar,"to make an effort, exert oneself"
1917,espantar,"to scare, frighten"
1924,especializar,"to specialize, major in"
1928,especificar,"to specify, itemize"
1938,esperar,"to wait, hope (for), expect"
1940,espiar,to spy on
1954,establecer,to establish
1962,estallar,"to break out, explode, start"
1964,estar,"to be (location, change from norm)"
1975,estimar,"to estimate, hold in esteem"
1976,estimular,"to stimulate, encourage"
1978,estirar,"to stretch, strain"
1983,estrechar,"to tighten, make closer"
1986,estrellar,to crash
1987,estremecer,"to shake, tremble"
1988,estrenar,"to use for the first time, debut"
1997,estudiar,to study
2013,evaluar,"to evaluate, assess"
2019,evitar,"to avoid, prevent"
2020,evocar,"to evoke, recall"
2022,evolucionar,"to evolve, develop"
2025,exagerar,to exaggerate
2027,examinar,"to examine, inspect"
2028,exceder,"to excel, exceed"
2036,exclamar,to exclaim
2037,excluir,"to exclude, reject"
2043,exhibir,"to exhibit, show off"
2045,exigir,to demand
2049,existir,to exist
2053,expandir,to expand
2060,experimentar,"to experience, experiment"
2064,explicar,to explain
2066,explorar,to explore
2069,explotar,"to explode, exploit"
2070,exponer,"to expound, expose"
2072,exportar,export
2074,expresar,to express
2077,expulsar,"to expel, throw out"
2080,extender,"to extend, spread"
2086,extinguir,"to extinguish, put out"
2088,extraer,"to extract, take out"
2089,extrañar,"to miss, long for"
2099,fabricar,to manufacture
2105,facilitar,to facilitate
2112,fallar,"to fail, miss"
2113,fallecer,to pass away (to die)
2117,faltar,to be lacking
2129,fascinar,to fascinate
2136,favorecer,"to favor, help"
2144,felicitar,to congratulate
2152,festejar,to celebrate
2163,figurar,"to appear, represent, figure (in)"
2164,fijar,"to set, fix, [se] notice"
2172,filtrar,"to seep, filter"
2177,finalizar,"to end, finalize"
2180,financiar,to finance
2184,fingir,"to feign, pretend"
2187,firmar,to sign
2201,florecer,"to flower, bloom, flourish"
2203,flotar,"to float, flutter"
2204,fluir,to flow
2207,fomentar,"to foster, promote, encourage"
2214,formar,to form
2218,formular,to formulate
2220,fortalecer,to fortify
2224,forzar,to force
2229,fracasar,"to fail, be unsuccessful"
2242,frecuentar,"to frequent, visit"
2245,frenar,"to brake, restrain"
2252,frotar,"to rub, scrub"
2255,frustrar,"to frustrate, prevent"
2266,fumar,to smoke
2270,funcionar,"to work, function"
2276,fundamentar,"to base, found"
2278,fundar,"to found, base"
2279,fundir,"to melt, cast, smelt"
2296,ganar,"to win, earn"
2299,garantizar,to guarantee
2304,gastar,to spend (money)
2308,gemir,"to moan, groan"
2313,generalizar,"to generalize, popularize"
2315,generar,to generate
2326,gestionar,"to manage, handle"
2331,girar,"to rotate, revolve"
2340,gobernar,to govern
2345,golpear,"to hit, strike"
2349,gozar,to enjoy
2351,grabar,"to record, engrave"
2356,graduar,"to adust, graduate"
2368,gritar,to shout
2374,guardar,"to keep, save"
2383,guiar,"to guide, lead, steer"
2387,gustar,to be pleasing to
2389,haber,to have (+Ved)
2394,habitar,to inhabit
2399,hablar,"to speak, talk"
2400,hacer,"to do, make"
2403,hallar,to find (out)
2415,heredar,to inherit
2420,herir,"to wound, hurt"
2427,hervir,to boil
2457,honrar,to honor
2476,huir,"to flee, run away"
2483,humillar,to humiliate
2486,hundir,"to sink, submerge"
2489,idear,"to devise, design"
2493,identificar,to identify
2501,ignorar,to be unaware
2509,iluminar,"to illuminate, light up"
2512,ilustrar,to illustrate
2516,imaginar,to imagine
2518,imitar,"to imitate, copy, mimic"
2522,impartir,"to impart, administer"
